istat,comune,lng,lat,join_OBJECTID_1,join_objectid,join_tipo_costa,join_descrizion,join_litologia,join_nome,join_id_interve,join_anno_costr,join_annodismis,join_dim_opera,join_dim_opera_,join_spaz_opera,join_dist_riva,join_flag_modif,join_modifica_o,join_lung_modif,join_area_modif,join_variaz_med,join_variaz_max,join_id_sistema,join_incongruen,join_incertezza,join_acc_geomet,join_annotazion,join_cod_istat,join_nome_uf,join_dataacqort,join_oraacqorto,join_data_igm,join_resp_digit,join_shape_leng,join_globalid,join_SHAPE__Length,join_Shape_Length,distance
"70016",Castropignano,14.56170054,41.61981865,"34773","34662","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"14070051",Vasto,1999/09/30 00:00:00, ,"1956",V. Proto,199.20443938,{A58322F3-C4AC-4F2F-AB9E-34A6CF04DD6C},,199.779595221988,51316.5235002301
"70017",Cercemaggiore,14.72209513,41.460307,"18753","18646","2",Opere Portuali, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"14070010",Lesina e Varano,1999/05/25 00:00:00, ,"1957",V. Proto,1857.46352813,{16D8D232-88EE-42EB-8D07-15C02B32692B},,1863.25787769341,60278.312728633
"70018",Cercepiccola,14.66804192,41.4593197,"18753","18646","2",Opere Portuali, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"14070010",Lesina e Varano,1999/05/25 00:00:00, ,"1957",V. Proto,1857.46352813,{16D8D232-88EE-42EB-8D07-15C02B32692B},,1863.25787769341,62633.0166049644
"70019",Civitacampomarano,14.69042466,41.78067471,"34773","34662","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"14070051",Vasto,1999/09/30 00:00:00, ,"1956",V. Proto,199.20443938,{A58322F3-C4AC-4F2F-AB9E-34A6CF04DD6C},,199.779595221988,30515.8725184981
"70020",Colle d'Anchise,14.51834488,41.50912393,"34773","34662","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"14070051",Vasto,1999/09/30 00:00:00, ,"1956",V. Proto,199.20443938,{A58322F3-C4AC-4F2F-AB9E-34A6CF04DD6C},,199.779595221988,63983.6150848654
"70021",Colletorto,14.97294248,41.66318277,"9213","9033","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Erosione,1290.51,24327.01,23.85,"44","0",Nessuna,Nessuna,Non verificato, ,"14070010",Lesina e Varano,1999/05/25 00:00:00, ,"1957",V. Proto,1290.85569736,{FA06E0DC-3A6E-4516-B89F-8FE82AD90231},,1294.93649988353,31058.85052947
"70022",Duronia,14.45882262,41.65829817,"33795","33726","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"13069083",Vasto,1999/05/27 00:00:00, ,"1956",V. Proto,5.32663327,{2C113F69-1BD5-477D-80F5-8F29381EC8B3},,5.34157707428642,51716.7585959541
"70023",Ferrazzano,14.67094603,41.53066428,"18753","18646","2",Opere Portuali, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"14070010",Lesina e Varano,1999/05/25 00:00:00, ,"1957",V. Proto,1857.46352813,{16D8D232-88EE-42EB-8D07-15C02B32692B},,1863.25787769341,55883.1136063358
"70024",Fossalto,14.54519468,41.67318906,"34774","34663","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"14070051",Vasto,1999/09/30 00:00:00, ,"1956",V. Proto,153.29458937,{448A89FB-E45E-412E-B35C-91689352D0AD},,153.736725642782,46809.80962776
"70025",Gambatesa,14.91403196,41.50926746,"9213","9033","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Erosione,1290.51,24327.01,23.85,"44","0",Nessuna,Nessuna,Non verificato, ,"14070010",Lesina e Varano,1999/05/25 00:00:00, ,"1957",V. Proto,1290.85569736,{FA06E0DC-3A6E-4516-B89F-8FE82AD90231},,1294.93649988353,48860.6332670911
"70026",Gildone,14.74023451,41.50953342,"18753","18646","2",Opere Portuali, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"14070010",Lesina e Varano,1999/05/25 00:00:00, ,"1957",V. Proto,1857.46352813,{16D8D232-88EE-42EB-8D07-15C02B32692B},,1863.25787769341,54743.7872246838
