istat,comune,lng,lat,join_OBJECTID_1,join_objectid,join_tipo_costa,join_descrizion,join_litologia,join_nome,join_id_interve,join_anno_costr,join_annodismis,join_dim_opera,join_dim_opera_,join_spaz_opera,join_dist_riva,join_flag_modif,join_modifica_o,join_lung_modif,join_area_modif,join_variaz_med,join_variaz_max,join_id_sistema,join_incongruen,join_incertezza,join_acc_geomet,join_annotazion,join_cod_istat,join_nome_uf,join_dataacqort,join_oraacqorto,join_data_igm,join_resp_digit,join_shape_leng,join_globalid,join_SHAPE__Length,join_Shape_Length,distance
"76016",Calvera,16.14361898,40.14870645,"3890","3945","1",Bassa,Ciottolosa, ,"0",,"0",0,"0","0","0",Si,Stabilità,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"18078103",Metaponto,1998/05/31 00:00:00, ,"1959",G. Spagone,1270.41671746,{BF14DF59-0FA5-47D9-B4B3-49771DD79E06},,1276.71144609979,39267.0518620509
"76017",Campomaggiore,16.07368168,40.56711111,"15802","15668","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Stabilità,0,0,0,"0","0",Nessuna,Nessuna,Ottima, ,"15065134",Sapri,1998/06/02 00:00:00, ,"1956",G. Spagone,142.52350885,{128AC5F4-01D2-4B43-AE57-7ECFA53AA5C7},,143.08008545644,65916.3176550738
"76018",Cancellara,15.92512422,40.73079144,"34845","34788","3",Sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"16072007",Manfredonia,1998/04/21 00:00:00, ,"1957",G. Poggi,108.39503542,{7FC9BFB0-3205-48D8-ABAB-307D3BDA4768},,108.874470416904,71367.2269682218
"76019",Carbone,16.08959862,40.14162812,"1591","1472","1",Alta,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"17076044",Maratea,1998/06/02 00:00:00, ,"1959",V. Proto,1702.12904603,{BF4F1BD4-0792-48DF-A74B-9AAC9428082E},,1708.98609600652,35469.5423178327
"76020",San Paolo Albanese,16.33497822,40.03567219,"20188","20678","2",Opere di difesa costiera-Pennelli obliqui emersi, , ,"0",,"2005",19.67960548,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"18078082",Metaponto,1998/06/02 00:00:00, ,"1959",G. Spagone,32.81488885,{1DCE4B8A-564A-4025-BECB-4A0FD7BCD15C},,32.9773417452128,21620.9608375001
"76021",Castelgrande,15.43306356,40.78522391,"33703","33751","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"15065014",Agropoli,1998/05/13 00:00:00, ,"1956",G. Spagone,9.76765322,{E81DDBD3-A039-4401-BC4C-17469A14BEEB},,9.79755698440608,50323.5697566737
"76022",Castelluccio Inferiore,15.97289786,40.00510219,"33753","33684","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"18078149",Praia a Mare,1998/06/02 00:00:00, ,"1959",G. Spagone,77.65815582,{C39FBDBA-2651-4F50-9DD4-3D99608DBBA0},,77.9737275960263,19209.0075926245
"76023",Castelluccio Superiore,15.97672071,40.00960137,"33753","33684","3",Collegamento sponde del fiume, , ,"0",,"0",0,"0","0","0",No,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"18078149",Praia a Mare,1998/06/02 00:00:00, ,"1959",G. Spagone,77.65815582,{C39FBDBA-2651-4F50-9DD4-3D99608DBBA0},,77.9737275960263,19724.8896324696
"76024",Castelmezzano,16.04813505,40.53066884,"15802","15668","1",Bassa,Sabbiosa, ,"0",,"0",0,"0","0","0",Si,Stabilità,0,0,0,"0","0",Nessuna,Nessuna,Ottima, ,"15065134",Sapri,1998/06/02 00:00:00, ,"1956",G. Spagone,142.52350885,{128AC5F4-01D2-4B43-AE57-7ECFA53AA5C7},,143.08008545644,61341.2960689636
"76025",Castelsaraceno,15.99271067,40.16502524,"234","1467","1",Alta,Rocciosa, ,"0",,"0",0,"0","0","0",Si,Nessuna informazione,0,0,0,"0","0",Nessuna,Nessuna,Non verificato, ,"17076044",Maratea,1998/06/02 00:00:00, ,"1956",V. Proto,3077.38392235,{15808E5F-017D-474F-BA6A-848BA7AB1516},,3089.57781173762,29928.9228349767
