origin_id,destinatio,shortest_d
81001,58670644,0.003625137124662
81002,563325229,0.007030185161594
81003,43373390,0.010103538970786
81004,741012699,0.006050220465663
81005,70376090,0.000425130411497
81006,102802527,0.000425130411497
81007,112831935,0.001974568360260
81008,563278821,0.004197455483368
81010,43373390,0.011502909990915
81011,30158337,0.000423353253258
81013,96709874,0.001642661420351
81014,764383792,0.001016990992869
81015,26493119,0.016617024129385
81016,113711498,0.017340007415809
81017,113711498,0.020285034002549
81018,43373390,0.013847530180304
81019,26493119,0.014737414748122
81020,38970204,0.000491627633496
81021,908802177,0.000801573865446
81022,58478778,0.001131630819695
81023,43373390,0.014380306530301
81024,38424963,0.000266095475502
82001,199084220,0.022747392372903
82002,47487763,0.022633854911989
82003,199084220,0.011471161176189
82004,730035761,0.002484035372343
82005,153558224,0.006082241759266
82006,90211516,0.001652170548936
82008,35152513,0.013120174678063
82009,72606674,0.008191709883919
82010,113711498,0.032746618326257
82011,35152513,0.007280022465352
82012,47487763,0.020707688302059
82013,34657054,0.004010421948410
82014,82648308,0.005327258369532
82015,47487763,0.015132490991227
82016,35152513,0.020349585294106
82017,60666368,0.000527773495887
82018,35152513,0.030748927123927
82019,34657054,0.020773709388499
82020,527617017,0.000029900654261
82021,527616986,0.004444718694764
82022,288836169,0.008441129756556
82023,41768581,0.000364881429461
82024,47487763,0.017087763822931
82025,244045232,0.029466832223567
82026,35152513,0.013508351294779
82028,199084220,0.006368322858984
82029,113711498,0.027743207637321
82030,35152513,0.017220705922774
82031,527616970,0.001254246014755
82032,60666368,0.007643524880244
82033,113711498,0.028811017963081
82034,35152513,0.021947549984265
82035,496121528,0.000550090670695
82036,47487763,0.028259690967396
82037,288836169,0.021885061518592
82038,737640799,0.006352531667636
82039,113711498,0.026078793469600
82040,35152513,0.017434852891771
82041,199350439,0.009905566480152
82042,60666368,0.014416287369995
82043,734244714,0.000007448233543
82044,199267881,0.000620951915212
82045,82648308,0.025599642114057
82046,35152513,0.009087319664427
82047,35152513,0.015670902237453
82048,35152513,0.004081515045952
82049,153558224,0.006824207541932
82050,737640799,0.008780112081588
82051,199084220,0.013344668731137
82052,35152513,0.038256604798693
82053,384182199,0.000973854178061
82054,34657054,0.003855112958086
82055,47487763,0.023214049757957
82056,47487763,0.021232414724553
82057,153558224,0.014828694119927
82058,47487763,0.017023834847248
82059,47250443,0.004717965397709
82060,35152513,0.034374897368208
82061,34657054,0.024951049638600
82062,82648308,0.018776288617617
82063,34657054,0.012854982232486
82064,34657054,0.013644982283158
82065,47254376,0.021810276003998
82066,153558224,0.016556397353823
82067,730902260,0.000109935270394
82068,199084220,0.005772161101422
82069,47487763,0.022249655613576
82070,39021572,0.000428716494377
82071,737640957,0.001253203684365
82072,527616997,0.005955415025522
82073,730035776,0.000927754611535
82074,739122677,0.000494311685317
82075,175700427,0.003322548064243
82076,102802527,0.003322548064243
82077,127006332,0.013995262312709
82078,35152513,0.025216794234618
82079,35152487,0.000502305384964
82080,35152513,0.011314989660342
82081,47487763,0.006913775510386
82082,47487763,0.017212024602679
83001,580635630,0.013312326324698
83002,917744146,0.000884298352457
83003,220628362,0.000541741221275
83004,559793761,0.017159587605656
83005,199898845,0.001277450899930
83006,102802527,0.005070243222762
83007,543827173,0.000099614010040
83009,420537540,0.000340306615509
83010,60150610,0.000011488972392
83011,579724541,0.000115931481431
83012,559793761,0.003876449751079
83013,1088982603,0.021782510237942
83014,603534397,0.007666642941043
83015,965135236,0.000076510323581
83016,363305193,0.010903396857021
83017,102802527,0.017117282600537
83018,28234480,0.003481321524292
83019,23654953,0.000153961752517
83020,116339490,0.004352870897027
83021,289522533,0.006171588168505
83022,757076826,0.023129916482016
83023,732002452,0.022722072265843
83024,41275668,0.002891409519276
83025,405412005,0.010618762486589
83026,244437882,0.010665305396776
83027,237781186,0.000341143972763
83028,309931930,0.000995342631354
83029,405412005,0.003298973531238
83030,757076826,0.016533138132598
83031,560124183,0.002918307533469
83032,102802527,0.034380599275981
83033,606851511,0.000095308731685
83034,405412005,0.007129760070041
83035,173979852,0.005292349081658
83036,157011992,0.000858810671762
83037,185665128,0.000436162373260
83038,228186956,0.000115332859577
83039,162717742,0.010763099078779
83040,560124150,0.013504688827642
83042,244437882,0.018304439808423
83043,521382474,0.000193495108042
83044,102802527,0.001142117282335
83045,289522534,0.010002101601490
83046,732002452,0.003496666280556
83047,60144931,0.002090257343113
83048,247018426,0.000671804568308
