origin_id,destinatio,shortest_d
70001,70502683,0.016903451072018
70002,70502683,0.037072653889031
70004,70502683,0.020758289673539
70005,70502683,0.038173752576791
70007,70502683,0.041913430322475
70008,70502683,0.033649320494096
70009,70502683,0.027777699808450
70010,60690489,0.000159480591289
70011,70502683,0.017001667217490
70012,70502683,0.034275208925387
70013,70502683,0.021078894598297
70014,70502683,0.026718501555017
70015,70502683,0.021495806808698
70016,70502683,0.031536818463541
70017,70502683,0.045073108089630
70018,70502683,0.043989172159959
70019,70502683,0.024951627645433
70020,70502683,0.036685593325953
70021,70502683,0.029564408180765
70022,173063904,0.029702089326735
70023,70502683,0.033894986654519
70024,173063904,0.029797934982576
70025,70502683,0.044680040618367
70026,70502683,0.037855545611156
70027,70502683,0.013701876744449
70028,70502683,0.040064537639018
70029,54584604,0.008564724080389
70030,70502683,0.042970098101583
70031,70502683,0.011396530134779
70032,70502683,0.030716040099020
70033,70502683,0.022028572926852
70034,70502683,0.019306995532981
70035,70502683,0.033467104464439
70036,173063904,0.011769937393160
70037,70502683,0.031769287912294
70038,70502683,0.037390436184787
70039,173063904,0.034191292666972
70040,70502683,0.036485517958543
70041,70502683,0.033426016448741
70042,358036200,0.010906018433766
70043,173063904,0.015317335372365
70044,70502683,0.018995524487428
70045,173063904,0.012250868917901
70046,337225649,0.008623546923175
70047,70502683,0.017424877206959
70048,70502683,0.021408983927757
70049,70502683,0.033320365179914
70050,358036200,0.014350094657927
70051,337225632,0.000132752296003
70052,70502683,0.026078395735364
70053,70502683,0.031528347416240
70054,173063904,0.025585887458086
70055,54848312,0.003610723057607
70056,70502683,0.021024199516274
70057,70502683,0.041650470387827
70058,70502683,0.023744610049427
70059,70502683,0.027379968717401
70060,173063904,0.017603742963493
70061,70502683,0.014830060274029
70062,173063904,0.020946372957591
70063,173063904,0.036884319438063
70064,173063904,0.011774550141702
70065,54584604,0.002658013513129
70066,70502683,0.035970342034435
70067,70502683,0.040998973939935
70068,70502683,0.023407436460492
70069,54848312,0.007066653667403
70070,173063904,0.039143842557271
70071,70502683,0.041229597285450
70072,70502683,0.019695891491064
70073,173063904,0.032279830110494
70074,70502683,0.027297127676703
70075,913319341,0.042004235408092
70076,70502683,0.038767844210509
70077,173063904,0.014471089669775
70079,173063904,0.032614202692716
70080,70502683,0.036903330879747
70081,173063904,0.015956639712800
70082,70502683,0.047614251918716
70083,54848312,0.012045559777013
70084,70502683,0.036192696367196
94001,28355147,0.035922373961112
94002,173063904,0.030336650151001
94003,173063904,0.022228655311928
94004,173063904,0.027936144139530
94005,173063904,0.035051491344756
94006,28355147,0.029312474261029
94007,173063904,0.027966803903657
94008,173063904,0.028462743987484
94009,28355147,0.024181926676236
94010,173063904,0.032511815958029
94012,28355147,0.038089627762957
94013,173063904,0.026586153430499
94014,28355147,0.035246990308123
94015,173063904,0.022976191380821
94016,173063904,0.025596284335277
94017,547291859,0.034214570410976
94018,547291859,0.037034406909666
94019,547291859,0.035253401358481
94020,28355147,0.033354010409301
94021,173063904,0.036107562666318
94022,173063904,0.037304132069475
94023,173063904,0.029155412084941
94024,173063904,0.037287890496523
94025,173063904,0.030486160458922
94026,173063904,0.037244287038975
94027,173063904,0.035573466234898
94028,547291859,0.030904909804074
94029,28355147,0.036408877346062
94030,547291859,0.033623944819708
94031,173063904,0.026052307588600
94032,173063904,0.023542014285272
94033,28355147,0.027546081193056
94035,173063904,0.026464785953096
94036,28355147,0.040099826027733
94037,173063904,0.023669781500726
94038,547291859,0.028065454443810
94039,28355147,0.030980576928799
94040,173063904,0.042455528513397
94041,173063904,0.032791156515739
94043,28355147,0.031003978959191
94044,173063904,0.034132851062026
94045,173063904,0.036430823535819
94046,28355147,0.020507703917664
94047,173063904,0.039776548348765
94048,547291859,0.037977224625254
94049,173063904,0.024864593528039
94050,22955441,0.027065625807494
94051,173063904,0.034060081962878
94052,547291859,0.025620506839043
