istat,comune,lng,lat,join_OBJECTID_1,join_objectid,join_tipo_costa,join_descrizion,join_litologia,join_nome,join_id_interve,join_anno_costr,join_annodismis,join_dim_opera,join_dim_opera_,join_spaz_opera,join_dist_riva,join_flag_modif,join_modifica_o,join_lung_modif,join_area_modif,join_variaz_med,join_variaz_max,join_id_sistema,join_incongruen,join_incertezza,join_acc_geomet,join_annotazion,join_cod_istat,join_nome_uf,join_dataacqort,join_oraacqorto,join_data_igm,join_resp_digit,join_shape_leng,join_globalid,join_SHAPE__Length,join_Shape_Length,distance
"58066",Montorio Romano,"12.80593453","42.13726876","34239","34568","3",Sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"12058120",Ostia Lido,1998/07/14 00:00:00, ,"1950",G. Spagone,"638.65916577",{95AD5B2A-DB2C-49D1-BF03-71949D18B484},,"638.777882493037","58446.6739805742"
"58067",Moricone,"12.77393687","42.11659725","34239","34568","3",Sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"12058120",Ostia Lido,1998/07/14 00:00:00, ,"1950",G. Spagone,"638.65916577",{95AD5B2A-DB2C-49D1-BF03-71949D18B484},,"638.777882493037","55008.6391118838"
"58068",Morlupo,"12.50441308","42.14283117","34646","34571","3",Sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"12058120",Ostia Lido,1998/07/14 00:00:00, ,"1950",G. Spagone,"611.13167754",{E1C020A6-A864-495C-8DEB-A64F8D6E6BA4},,"611.223011530536","37846.5516234682"
"58069",Nazzano,"12.59725095","42.22864975","32689","32624","3",Collegamento sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"12058120",Ostia Lido,1998/07/14 00:00:00, ,"1950",G. Spagone,"6.67865391",{B98CEF75-7A44-439C-BF40-FC626384CB79},,"6.6796034560436","49937.5234873739"
"58070",Nemi,"12.71442613","41.72015954","32685","32620","3",Collegamento sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"12058117",Ostia Lido,1998/07/19 00:00:00, ,Agg. Prec. 1952,G. Spagone,"12.38698612",{84D5A209-1C6A-46FF-A6A2-A7D12D30F7AF},,"12.3935267468137","21824.9859382938"
"58071",Nerola,"12.78665137","42.16202285","32688","32623","3",Collegamento sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"12058120",Ostia Lido,1998/07/14 00:00:00, ,"1950",G. Spagone,"9.34194832",{4D393EBC-23F6-41ED-A737-E94B0D44F513},,"9.34350335142767","58408.2998277721"
"58072",Nettuno,"12.66141549","41.45748878","6760","6597","1",Bassa,Sabbiosa, ,"0",,"0","0","0","0","0",Si,Avanzamento,"596.88","27255.77","50.66","92","0",Nessuna,Nessuna,Non verificato, ,"12058072",Sabaudia,1998/07/19 00:00:00, ,Agg. Prec. 1952,G. Spagone,"399.28608615",{4A23E7B7-AC49-42C4-9335-D96F0E8B3D7D},,"399.560182575623","0"
"58073",Olevano Romano,"13.03247714","41.8607251","9050","8870","1",Bassa,Sabbiosa, ,"0",,"0","0","0","0","0",Si,Avanzamento,"4100.06","153177.03","42.36","80","0",Nessuna,Nessuna,Non verificato, ,"12059011",Sabaudia,1998/07/19 00:00:00, ,Agg. Prec. 1952,G. Spagone,"4077.59265049",{AA8D98BC-3D0D-4B83-8E0B-5538497F7248},,"4081.16323696966","51099.1430432586"
"58074",Palestrina,"12.88915634","41.83942538","32685","32620","3",Collegamento sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"12058117",Ostia Lido,1998/07/19 00:00:00, ,Agg. Prec. 1952,G. Spagone,"12.38698612",{84D5A209-1C6A-46FF-A6A2-A7D12D30F7AF},,"12.3935267468137","41500.6198996043"
"58075",Palombara Sabina,"12.76511218","42.066546","34239","34568","3",Sponde del fiume, , ,"0",,"0","0","0","0","0",No,Nessuna informazione,"0","0","0","0","0",Nessuna,Nessuna,Non verificato, ,"12058120",Ostia Lido,1998/07/14 00:00:00, ,"1950",G. Spagone,"638.65916577",{95AD5B2A-DB2C-49D1-BF03-71949D18B484},,"638.777882493037","51842.3581493939"
