origin_id,destinatio,shortest_d
66001,503934477,0.026810537523169
66002,503934477,0.032500703695157
66003,28355147,0.032588005704167
66004,503934477,0.026983867063764
66005,28355147,0.023645709922942
66006,503934477,0.036915632922370
66007,547291859,0.033854869900615
66008,983221590,0.032859139924453
66009,503934477,0.030987990379448
66010,28355147,0.037724762086696
66011,503934477,0.042403819815639
66012,503934477,0.028339276985281
66013,983221590,0.036643071649148
66014,503934477,0.032590659802995
66015,503934477,0.033472199329090
66016,629879556,0.038483321923410
66017,547291859,0.042123084028937
66018,503934477,0.030600773638629
66019,503934477,0.023681644330618
66020,503934477,0.039630947666335
66021,629879556,0.034876453489056
66022,503934477,0.027035633099111
66023,132578678,0.048626949873849
66024,503934477,0.031872784332454
66025,132578678,0.031853042161334
66026,503934477,0.030374995959056
66027,503934477,0.028244867885996
66028,28355147,0.033761224158065
66029,503934477,0.043426950712771
66030,503934477,0.031478935256570
66031,503934477,0.026980189485526
66032,503934477,0.033347668821198
66033,503934477,0.030532441103605
66034,547291859,0.044394673614134
66035,28355147,0.042271387121525
66036,547291859,0.039070558239384
66037,503934477,0.025646266688738
66038,503934477,0.030480597879732
66039,503934477,0.047318257372011
66040,503934477,0.023032912466774
66041,503934477,0.019938377998072
66042,983221590,0.033572940472160
66043,503934477,0.033350452561010
66044,983221590,0.030426879527149
66045,503934477,0.029818712200986
66046,503934477,0.034915148015311
66047,503934477,0.026737374979489
66048,503934477,0.028495670594835
66049,983221590,0.026519782818539
66050,503934477,0.037164837107582
66051,503934477,0.041537764934849
66052,983221590,0.031386440349948
66053,503934477,0.037959088036530
66054,503934477,0.039402425603573
66055,503934477,0.026513427421055
66056,629879556,0.038261166924652
66057,547291859,0.036413362358841
66058,503934477,0.023170296121313
66059,983221590,0.032097989864191
66060,503934477,0.026026212134601
66061,547291859,0.041265808730581
66062,132578678,0.034533433693143
66063,503934477,0.035740739112087
66064,503934477,0.034722034341785
66065,503934477,0.038840906441736
66066,503934477,0.028047356147775
66067,132578678,0.035873455119735
66068,547291859,0.042885837000947
66069,503934477,0.030118703984801
66070,28355147,0.032254715488472
66071,503934477,0.028730692113559
66072,983221590,0.031820341378847
66073,983221590,0.030050712312707
66074,503934477,0.029648588675974
66075,503934477,0.020177301686096
66076,503934477,0.025059215330479
66077,503934477,0.021816275196394
66078,28355147,0.033620935544138
66079,503934477,0.022068525027969
66080,132578678,0.036411708348226
66081,983221590,0.039167384170193
66082,983221590,0.038429812623716
66083,503934477,0.033547786409887
66084,28355147,0.032804096689333
66085,503934477,0.033395213909893
66086,503934477,0.022241506049439
66087,983221590,0.031413137444717
66088,503934477,0.028189986066968
66089,132578678,0.038371318463465
66090,983221590,0.030972012620025
66091,503934477,0.035161746162369
66092,547291859,0.034079808201428
66093,503934477,0.034043889654551
66094,28355147,0.035172906631567
66095,983221590,0.032738677049658
66096,503934477,0.038259541468126
66097,503934477,0.031657110062957
66098,503934477,0.025643135864492
66099,132578678,0.041761800188761
66100,503934477,0.033242296715264
66101,983221590,0.035439491989786
66102,503934477,0.040386851430516
66103,503934477,0.030794053129313
66104,503934477,0.025996861785302
66105,983221590,0.032729268166217
66106,503934477,0.050272228089220
66107,28355147,0.040916277523931
66108,503934477,0.020410016410532
67001,856999333,0.001042386926371
67002,75359700,0.007813197253583
67003,23041410,0.027964678099495
67004,23041410,0.005136624045487
67005,983221590,0.014962634811847
67006,130174489,0.011025797712370
67007,23041410,0.024157558698659
67008,629879556,0.015711934563426
67009,983221590,0.011171488180105
67010,983221590,0.018401060585050
67011,629879556,0.010135222084577
67012,983221590,0.026136247339167
67013,23041410,0.017441428630525
67014,23041410,0.013075659450749
67015,23041410,0.016540105860409
67016,983221590,0.014917033333420
67017,75359700,0.014510453907076
67018,983221590,0.014415443876269
67019,223041241,0.003443533652186
67020,92256490,0.005927503769375
67021,92256490,0.005180722418487
67022,629879556,0.029332712470116
67023,629879556,0.025177543668166
67024,629879556,0.025731184066323
67025,130174489,0.000347624082541
67026,983221590,0.017364211945870
67027,23041410,0.016408032275932
67028,629879556,0.015881808579389
67029,983221590,0.006458815591898
67030,130174489,0.007075820235698
67031,92256490,0.004974605204923
67032,983221590,0.006141483812454
67033,983221590,0.012975609358512
67034,629879556,0.025578720662018
67035,891040921,0.000022316325098
67036,629879556,0.026558054386108
67037,56455354,0.000689533548421
67038,75359700,0.008436462955225
67039,72418750,0.010366276623395
67040,34435141,0.000822988536635
67041,629879556,0.010480921848565
67042,75359700,0.007991585721501
67043,629879556,0.013865023962054
67044,181455740,0.001234036923299
67045,983221590,0.016528120936489
67046,75359700,0.029433520950445
67047,223023520,0.000380275901970
68001,503934477,0.016363985399015
68002,503934477,0.021154007978529
68003,503934477,0.016745247151791
68004,503934477,0.018354673992988
68005,503934477,0.018988735673622
68006,11181590,0.002964740161279
68007,503934477,0.019429762761017
68008,503934477,0.018924417240341
68009,503934477,0.016906927026062
68010,503934477,0.012418704011048
68011,503934477,0.007147945432989
68012,9421969,0.004219247933715
68013,503934477,0.014848890940267
68014,503934477,0.024937180616209
68015,11181590,0.009246465020555
68016,503934477,0.028274394225469
68017,503934477,0.021821155694441
68018,9644280,0.013619386079257
68019,11181590,0.022239770924977
68020,503934477,0.016930060300970
68021,11181590,0.009019605901822
68022,503934477,0.012009050724534
68023,11181590,0.019264542553167
68024,32702303,0.000120371579488
68025,10329540,0.015142066464193
68026,503934477,0.016632036139728
68027,11181590,0.012402521961942
68028,44935008,0.000085896235402
68029,503934477,0.023090107127845
68030,503934477,0.010588014541013
68031,9644280,0.012476854875965
68032,503934477,0.022304325677635
68033,503934477,0.016882686279898
68034,503934477,0.018830035817684
68035,503934477,0.010419721226065
68036,503934477,0.022906706418234
68037,503934477,0.022064585507260
68038,503934477,0.013874891509465
68039,503934477,0.010000965812130
68040,503934477,0.014350442359204
68041,10329540,0.003749638803148
68042,503934477,0.016187864237296
68043,503934477,0.013877536859351
68044,503934477,0.013425835096020
68045,503934477,0.017375955049069
68046,11181590,0.023692317800962
69001,28355147,0.012488223507335
69002,28355147,0.012212579585572
69003,815856811,0.008955295165535
69004,860193498,0.009499845534634
69005,28355147,0.014876269471604
69006,28355147,0.012531926766304
69007,28355147,0.022584958607148
69008,83468585,0.008576821664321
69009,28355147,0.025634950044643
69010,958926044,0.010735654557869
